tool_name,category,tool_url,verdict,tr_score,re_score,us_score,se_score,tc_score,total,total_max,status,notes
ai2 Asta,academic_search,https://asta.allenai.org,recommended,3.0,3.0,2.0,3.0,3.0,42,42,done,Restricts outputs to Semantic Scholar corpus. Excels in Traceability and Reliability.
Elicit,academic_search,https://elicit.com,conditional,2.0,2.0,2.5,2.0,1.5,30,42,done,Valuable for abstract summarization but ranking algorithm not fully disclosed.
Semantic Scholar,academic_search,https://www.semanticscholar.org,recommended,2.5,3.0,2.5,2.5,3.0,38,42,done,Strong Reliability and Traceability. Limited Transparency on ranking methodology.
Consensus,academic_search,https://consensus.app,conditional,2.0,2.5,2.0,2.0,2.0,31,42,done,Claims AI-assisted search but sources are verifiable. Moderate across all principles.
Perplexity AI,ai_assistant,https://www.perplexity.ai,not_recommended,1.5,1.0,2.5,1.0,1.0,21,42,done,Prone to citation errors. Fails Reliability and Traceability.
ChatGPT,ai_assistant,https://chat.openai.com,not_recommended,1.0,1.0,2.5,1.0,0.5,18,42,done,Not designed for academic search. Hallucinated citations are common.
Google Gemini,ai_assistant,https://gemini.google.com,not_recommended,1.5,1.0,2.5,1.0,0.5,19,42,in-progress,Early evaluation shows similar issues to other general-purpose AI assistants.
Microsoft Copilot,ai_assistant,https://copilot.microsoft.com,conditional,2.0,2.0,2.0,1.5,1.5,28,42,done,Bing-based search with citations. Better than pure LLM but still inconsistent.
You.com,academic_search,https://you.com,conditional,1.5,2.0,2.0,1.5,1.5,26,42,done,Offers academic mode but Transparency on data sources is limited.
Scopus AI,academic_search,https://www.scopus.com,,0,0,0,0,0,0,0,nominated,Nominated for review. Elsevier's AI-enhanced search.
Web of Science AI,academic_search,https://www.webofscience.com,,0,0,0,0,0,0,0,nominated,Nominated for review. Clarivate's AI assistant.
